Region,Stratum,INPFC_area,Area_km2,Region
GOA,10,Shumagin,8333,Shelf50_200m
GOA,11,Shumagin,13681,Shelf50_200m
GOA,12,Shumagin,6876,Shelf50_200m
GOA,13,Shumagin,12399,Shelf50_200m
GOA,20,Chirikof,7941,Shelf50_200m
GOA,21,Chirikof,7302,Shelf50_200m
GOA,22,Chirikof,10792,Shelf50_200m
GOA,30,Kodiak,5766,Shelf50_200m
GOA,31,Kodiak,15403,Shelf50_200m
GOA,32,Kodiak,9887,Shelf50_200m
GOA,33,Kodiak,5260,Shelf50_200m
GOA,35,Kodiak,2200,Shelf50_200m
GOA,40,Yakutat,9947,Shelf50_200m
GOA,41,Yakutat,6714,Shelf50_200m
GOA,50,Southeastern,6546,Shelf50_200m
GOA,110,Shumagin,4245,Gully
GOA,111,Shumagin,8154,Shelf50_200m
GOA,112,Shumagin,2278,Shelf50_200m
GOA,120,Chirikof,11104,Gully
GOA,121,Chirikof,7735,Shelf50_200m
GOA,122,Chirikof,5011,Shelf50_200m
GOA,130,Kodiak,7912,Gully
GOA,131,Kodiak,7336,Shelf50_200m
GOA,132,Kodiak,10981,Shelf50_200m
GOA,133,Kodiak,12077,Shelf50_200m
GOA,134,Kodiak,5026,Shelf50_200m
GOA,140,Yakutat,7346,Shelf50_200m
GOA,141,Yakutat,5277,Shelf50_200m
GOA,142,Yakutat,9032,Shelf50_200m
GOA,143,Yakutat,7728,Shelf50_200m
GOA,150,Southeastern,4196,Shelf50_200m
GOA,151,Southeastern,6888,Shelf50_200m
GOA,210,Shumagin,2788,Slope200-1000m
GOA,220,Chirikof,10018,Gully
GOA,221,Chirikof,1528,Slope200-1000m
GOA,230,Kodiak,6659,Gully
GOA,231,Kodiak,1623,Slope200-1000m
GOA,232,Kodiak,3208,Gully
GOA,240,Yakutat,3043,Slope200-1000m
GOA,241,Yakutat,2127,Slope200-1000m
GOA,250,Southeastern,1125,Slope200-1000m
GOA,251,Southeastern,3927,Slope200-1000m
GOA,310,Shumagin,2531,Slope200-1000m
GOA,320,Chirikof,1604,Slope200-1000m
GOA,330,Kodiak,2912,Slope200-1000m
GOA,340,Yakutat,1107,Slope200-1000m
GOA,341,Yakutat,1521,Slope200-1000m
GOA,350,Southeastern,2344,Slope200-1000m
GOA,351,Southeastern,773,Slope200-1000m
GOA,410,Shumagin,2006,Slope200-1000m
GOA,420,Chirikof,1953,Slope200-1000m
GOA,430,Kodiak,1745,Slope200-1000m
GOA,440,Yakutat,1469,Slope200-1000m
GOA,450,Southeastern,1033,Slope200-1000m
GOA,510,Shumagin,1937,Slope200-1000m
GOA,520,Chirikof,3066,Slope200-1000m
GOA,530,Kodiak,3494,Slope200-1000m
GOA,540,Yakutat,1887,Slope200-1000m
GOA,550,Southeastern,1206,Slope200-1000m
